,Year,Month,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
14,2022,12,SkyWest Airlines Inc.,RDD,"Redding, CA: Redding Municipal",601.0,347.0,155.0,0.0,314.0,10.0,2.0,1.0,0.0,3.0
15,2021,11,SkyWest Airlines Inc.,BRO,"Brownsville, TX: Brownsville South Padre Island International",696.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2023,11,SkyWest Airlines Inc.,LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",0.0,0.0,120.0,0.0,37.0,0.0,0.0,2.0,0.0,1.0
17,2023,12,SkyWest Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",357.0,0.0,57.0,0.0,0.0,5.62,0.0,0.38,0.0,0.0
18,2021,11,American Airlines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1199.0,0.0,226.0,52.0,1155.0,23.99,0.0,7.04,1.07,15.9
19,2021,12,Alaska Airlines Network,BUR,"Burbank, CA: Bob Hope",604.0,533.0,537.0,0.0,144.0,13.02,3.89,13.39,0.0,4.69
20,2023,12,SkyWest Airlines Inc.,CSG,"Columbus, GA: Columbus Airport",250.0,0.0,56.0,0.0,0.0,5.71,0.0,1.29,0.0,0.0
21,2023,12,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2022,12,Republic Airline,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",8.0,0.0,78.0,0.0,82.0,0.11,0.0,2.28,0.0,1.61
23,2022,12,Spirit Airlines,SDF,"Louisville, KY: Louisville Muhammad Ali International",734.0,106.0,509.0,178.0,658.0,12.12,1.0,9.53,1.0,7.36
24,2022,11,SkyWest Airlines Inc.,MGM,"Montgomery, AL: Montgomery Regional",113.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,2022,12,Republic Airline,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",41.0,4.0,130.0,0.0,432.0,0.89,0.02,3.21,0.0,5.88
26,2022,12,SkyWest Airlines Inc.,HYS,"Hays, KS: Hays Regional",661.0,276.0,0.0,0.0,169.0,10.0,3.0,0.0,0.0,5.0
27,2021,12,Envoy Air,DRT,"Del Rio, TX: Del Rio International",79.0,0.0,0.0,0.0,10.0,1.75,0.0,0.0,0.0,0.25
28,2021,12,Piedmont Airlines,ILM,"Wilmington, NC: Wilmington International",15.0,0.0,22.0,0.0,38.0,1.0,0.0,0.37,0.0,0.63
29,2023,12,Envoy Air,AGS,"Augusta, GA: Augusta Regional at Bush Field",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2022,12,United Air Lines Network,BZN,"Bozeman, MT: Bozeman Yellowstone International",1632.0,306.0,305.0,0.0,2622.0,23.11,3.96,7.07,0.0,23.85
31,2022,12,Spirit Airlines,RNO,"Reno, NV: Reno/Tahoe International",1032.0,0.0,540.0,0.0,124.0,11.12,0.0,11.17,0.0,1.7
32,2022,12,Piedmont Airlines,ALB,"Albany, NY: Albany International",282.0,141.0,78.0,0.0,196.0,6.92,1.66,1.89,0.0,3.52
33,2022,12,Piedmont Airlines,ERI,"Erie, PA: Erie International/Tom Ridge Field",13.0,0.0,46.0,0.0,73.0,0.15,0.0,2.0,0.0,0.85
34,2022,12,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",36.0,48.0,46.0,0.0,155.0,0.77,0.56,0.79,0.0,0.89
35,2022,12,Envoy Air,RNO,"Reno, NV: Reno/Tahoe International",478.0,134.0,131.0,0.0,792.0,7.61,0.96,4.14,0.0,12.29
36,2022,12,Frontier Airlines,BDL,"Hartford, CT: Bradley International",1931.0,120.0,2059.0,0.0,1559.0,26.41,1.61,34.15,0.0,18.83
37,2023,12,Envoy Air,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",559.0,36.0,229.0,0.0,882.0,12.74,1.27,8.81,0.0,14.18
38,2021,11,PSA Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",251.0,0.0,84.0,0.0,444.0,5.73,0.0,2.75,0.0,5.53
39,2021,11,PSA Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",50.0,0.0,16.0,0.0,20.0,1.06,0.0,0.94,0.0,1.0
40,2023,11,Delta Air Lines Network,PDX,"Portland, OR: Portland International",2853.0,0.0,483.0,0.0,228.0,30.26,0.0,15.79,0.0,5.95
41,2021,12,JetBlue Airways,DEN,"Denver, CO: Denver International",1789.0,0.0,1071.0,0.0,705.0,22.49,0.0,21.36,0.0,5.16
42,2022,12,American Airlines Network,GSP,"Greer, SC: Greenville-Spartanburg International",1229.0,49.0,236.0,0.0,1202.0,14.72,1.51,5.01,0.0,14.77
43,2023,11,JetBlue Airways,PVD,"Providence, RI: Rhode Island Tf Green International",1192.0,0.0,260.0,16.0,388.0,14.11,0.0,7.36,0.92,6.62
44,2022,11,PSA Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",309.0,0.0,50.0,0.0,77.0,4.73,0.0,2.7,0.0,2.57
45,2021,11,Envoy Air,GSP,"Greer, SC: Greenville-Spartanburg International",111.0,3.0,51.0,0.0,153.0,2.49,0.05,1.24,0.0,2.23
46,2022,12,American Airlines Network,LGA,"New York, NY: LaGuardia",9707.0,1205.0,7963.0,21.0,18886.0,142.69,17.67,175.36,1.0,194.28
47,2021,12,"Commutair Aka Champlain Enterprises, Inc.",ABQ,"Albuquerque, NM: Albuquerque International Sunport",415.0,318.0,171.0,0.0,93.0,8.48,1.0,6.33,0.0,2.18
48,2022,11,Delta Air Lines Network,SAN,"San Diego, CA: San Diego International",3612.0,153.0,2211.0,0.0,1150.0,56.76,2.21,70.13,0.0,22.9
49,2022,12,Allegiant Air,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1211.0,124.0,345.0,0.0,2327.0,16.08,1.74,6.26,0.0,21.92
50,2022,11,SkyWest Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",735.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,1.0
51,2021,11,Allegiant Air,GFK,"Grand Forks, ND: Grand Forks International",105.0,17.0,46.0,0.0,155.0,1.98,0.15,1.13,0.0,1.74
52,2021,11,SkyWest Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0
53,2022,12,CommuteAir LLC dba CommuteAir,LBB,"Lubbock, TX: Lubbock Preston Smith International",1420.0,16.0,208.0,0.0,712.0,12.15,1.0,2.42,0.0,5.43
54,2023,12,Alaska Airlines Network,MIA,"Miami, FL: Miami International",434.0,13.0,216.0,0.0,75.0,4.77,0.59,4.64,0.0,2.0
55,2022,12,Delta Air Lines Network,ATW,"Appleton, WI: Appleton International",51.0,0.0,2.0,0.0,36.0,1.44,0.0,0.06,0.0,1.49
56,2022,12,American Airlines Network,LAX,"Los Angeles, CA: Los Angeles International",20003.0,2661.0,8515.0,80.0,20128.0,227.25,25.74,237.97,1.56,189.49
57,2023,12,Delta Air Lines Network,MKE,"Milwaukee, WI: General Mitchell International",874.0,0.0,208.0,0.0,63.0,11.92,0.0,6.08,0.0,2.0
58,2023,11,Mesa Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",195.0,0.0,504.0,0.0,318.0,3.57,0.0,6.39,0.0,2.04
59,2022,12,SkyWest Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",2451.0,290.0,50.0,0.0,197.0,25.0,4.0,1.0,0.0,3.0
60,2022,11,SkyWest Airlines Inc.,SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2022,11,Allegiant Air,SFB,"Sanford, FL: Orlando Sanford International",5143.0,295.0,2756.0,66.0,6365.0,52.32,3.65,69.48,1.92,95.63
