,Year,Month,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
107,2022,11,Hawaiian Airlines Network,SFO,1093.0,0.0,0.0,0.0,249.0,19.7,0.0,0.0,0.0,2.3
108,2021,11,Allegiant Air,SGF,381.0,0.0,197.0,0.0,520.0,6.62,0.0,5.39,0.0,8.99
109,2023,12,JetBlue Airways,IAH,1038.0,0.0,367.0,0.0,387.0,7.66,0.0,8.38,0.0,3.96
110,2023,11,Allegiant Air,SYR,92.0,0.0,262.0,0.0,214.0,3.09,0.0,4.89,0.0,3.01
111,2021,11,Allegiant Air,LAS,4132.0,39.0,1734.0,71.0,7299.0,52.44,0.74,43.05,1.5,110.27
112,2023,11,Delta Air Lines Network,PSC,62.0,0.0,2.0,0.0,0.0,1.91,0.0,0.09,0.0,0.0
113,2021,11,SkyWest Airlines Inc.,MDW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2021,12,Republic Airline,MCI,773.0,308.0,842.0,24.0,883.0,16.64,5.34,29.06,1.0,14.96
115,2021,12,American Airlines Network,BZN,216.0,4.0,293.0,0.0,44.0,6.64,0.2,9.66,0.0,1.5
116,2023,12,Piedmont Airlines,MGM,146.0,0.0,61.0,0.0,131.0,1.01,0.0,3.13,0.0,1.87
117,2021,12,Piedmont Airlines,MGM,90.0,84.0,33.0,0.0,957.0,2.16,0.3,0.91,0.0,7.63
118,2022,11,United Air Lines Network,IAH,20190.0,1537.0,11780.0,0.0,17621.0,268.27,14.66,328.66,0.0,218.41
119,2022,12,Air Wisconsin Airlines Corp,PVD,38.0,0.0,0.0,0.0,19.0,1.32,0.0,0.0,0.0,0.68
120,2022,11,PSA Airlines Inc.,MYR,514.0,0.0,50.0,0.0,690.0,9.75,0.0,1.76,0.0,5.49
121,2022,12,SkyWest Airlines Inc.,GRR,1191.0,1644.0,0.0,0.0,0.0,26.0,14.0,0.0,0.0,0.0
122,2023,12,Mesa Airlines Inc.,CRP,57.0,0.0,0.0,0.0,441.0,2.41,0.0,0.0,0.0,5.59
123,2021,12,Alaska Airlines Network,BNA,65.0,173.0,139.0,0.0,110.0,2.14,1.23,1.46,0.0,1.18
124,2022,12,Delta Air Lines Network,STL,2319.0,278.0,363.0,0.0,1274.0,44.82,3.64,8.74,0.0,17.79
125,2022,11,Envoy Air,BOI,43.0,0.0,69.0,0.0,39.0,0.69,0.0,2.43,0.0,0.87
126,2021,11,Frontier Airlines,FAR,420.0,0.0,37.0,0.0,20.0,1.45,0.0,0.55,0.0,1.0
127,2023,12,Delta Air Lines Network,BUF,461.0,92.0,117.0,0.0,47.0,10.14,1.0,4.27,0.0,0.59
128,2023,12,American Airlines Network,DTW,1948.0,45.0,533.0,0.0,1851.0,32.64,0.35,17.34,0.0,28.67
129,2022,12,Delta Air Lines Network,GSP,652.0,0.0,163.0,0.0,144.0,15.48,0.0,4.12,0.0,4.4
130,2022,12,SkyWest Airlines Inc.,LNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2023,12,CommuteAir LLC dba CommuteAir,GPT,375.0,0.0,2.0,0.0,235.0,4.93,0.0,0.04,0.0,3.03
132,2021,12,SkyWest Airlines Inc.,AUS,1027.0,97.0,0.0,0.0,3803.0,29.0,2.0,0.0,0.0,39.0
133,2022,11,United Air Lines Network,PNS,277.0,0.0,5.0,0.0,276.0,3.26,0.0,0.16,0.0,5.58
134,2022,11,Delta Air Lines Network,SLC,18137.0,1234.0,6074.0,0.0,12177.0,166.73,10.65,147.6,0.0,171.02
135,2022,12,Allegiant Air,ROC,16.0,0.0,79.0,0.0,66.0,0.55,0.0,1.07,0.0,2.38
136,2023,11,Republic Airline,EWR,1633.0,0.0,1992.0,0.0,3400.0,31.53,0.0,57.12,0.0,22.35
137,2023,11,Republic Airline,PWM,16.0,0.0,40.0,0.0,33.0,1.0,0.0,2.0,0.0,1.0
138,2022,12,American Airlines Network,TPA,6394.0,976.0,3009.0,3.0,9910.0,111.35,11.69,74.85,0.17,118.95
139,2022,11,United Air Lines Network,MSO,290.0,0.0,107.0,0.0,182.0,6.62,0.0,2.41,0.0,2.96
140,2023,11,Southwest Airlines,TUS,837.0,0.0,199.0,0.0,2207.0,24.77,0.0,7.51,0.0,34.72
141,2023,12,Endeavor Air Inc.,DCA,624.0,0.0,540.0,0.0,470.0,8.8,0.0,16.93,0.0,4.28
142,2021,12,PSA Airlines Inc.,BGR,400.0,0.0,117.0,0.0,591.0,12.47,0.0,5.35,0.0,13.18
143,2021,12,American Airlines Network,KOA,504.0,0.0,78.0,0.0,640.0,5.11,0.0,3.31,0.0,4.58
144,2021,11,JetBlue Airways,ABQ,267.0,0.0,27.0,0.0,9.0,3.84,0.0,0.6,0.0,0.56
145,2023,12,Piedmont Airlines,BDL,45.0,653.0,21.0,0.0,121.0,1.59,0.98,0.43,0.0,1.0
146,2021,12,PSA Airlines Inc.,ABE,116.0,0.0,254.0,23.0,378.0,3.0,0.0,11.06,0.25,2.69
147,2023,12,American Airlines Network,MSY,2599.0,65.0,723.0,32.0,2746.0,37.47,0.62,24.3,0.7,38.91
148,2021,11,PSA Airlines Inc.,DFW,553.0,0.0,112.0,29.0,576.0,4.48,0.0,4.09,0.17,5.26
149,2023,12,SkyWest Airlines Inc.,MDT,962.0,173.0,127.0,0.0,100.0,9.12,3.5,4.01,0.0,1.38
150,2022,11,American Airlines Network,CLT,50451.0,1129.0,14307.0,119.0,55888.0,466.97,19.25,452.29,3.41,635.07
151,2022,12,CommuteAir LLC dba CommuteAir,CHO,319.0,0.0,68.0,0.0,876.0,3.54,0.0,1.72,0.0,3.74
